Photon    Coherent Incoher. Photoel. Nuclear  Electron Tot. w/  Tot. wo/ 
Energy    Scatter. Scatter. Absorb.  Pr. Prd. Pr. Prd. Coherent Coherent 
 1.000E-03 8.000E-01 1.200E-02 4.200E-01 0.000E+00 0.000E+00 4.300E-01 4.200E-01 
 1.500E-03 6.200E-01 1.800E-02 1.800E-01 0.000E+00 0.000E+00 1.860E-01 1.800E-01 
 2.000E-03 4.800E-01 2.300E-02 9.500E-02 0.000E+00 0.000E+00 9.780E-02 9.500E-02 
 3.000E-03 3.100E-01 3.200E-02 4.100E-02 0.000E+00 0.000E+00 4.200E-02 4.100E-02 
 4.000E-03 2.200E-01 3.900E-02 2.200E-02 0.000E+00 0.000E+00 2.260E-02 2.200E-02 
 5.000E-03 1.600E-01 4.500E-02 1.350E-02 0.000E+00 0.000E+00 1.410E-02 1.350E-02 
 6.000E-03 1.200E-01 5.000E-02 9.000E-03 0.000E+00 0.000E+00 9.500E-03 9.000E-03 
 8.000E-03 7.500E-02 5.900E-02 4.900E-03 0.000E+00 0.000E+00 5.500E-03 4.900E-03 
 1.000E-02 5.000E-02 6.600E-02 3.100E-03 0.000E+00 0.000E+00 3.700E-03 3.100E-03 
 1.500E-02 2.400E-02 8.200E-02 1.300E-03 0.000E+00 0.000E+00 1.680E-03 1.300E-03 
 2.000E-02 1.400E-02 9.200E-02 6.800E-04 0.000E+00 0.000E+00 8.700E-04 6.800E-04 
 3.000E-02 6.500E-03 1.030E-01 2.900E-04 0.000E+00 0.000E+00 3.600E-04 2.900E-04 
 4.000E-02 3.700E-03 1.090E-01 1.550E-04 0.000E+00 0.000E+00 1.850E-04 1.550E-04 
 5.000E-02 2.400E-03 1.120E-01 9.200E-05 0.000E+00 0.000E+00 1.080E-04 9.200E-05 
 6.000E-02 1.700E-03 1.140E-01 5.900E-05 0.000E+00 0.000E+00 6.800E-05 5.900E-05 
 8.000E-02 9.800E-04 1.160E-01 3.200E-05 0.000E+00 0.000E+00 3.600E-05 3.200E-05 
 1.000E-01 6.400E-04 1.170E-01 1.950E-05 0.000E+00 0.000E+00 2.200E-05 1.950E-05 
 1.500E-01 2.900E-04 1.180E-01 8.500E-06 0.000E+00 0.000E+00 9.500E-06 8.500E-06 
 2.000E-01 1.650E-04 1.170E-01 4.500E-06 0.000E+00 0.000E+00 5.000E-06 4.500E-06 
 3.000E-01 7.500E-05 1.130E-01 2.000E-06 0.000E+00 0.000E+00 2.200E-06 2.000E-06 
